ω,,,,,,,,,
=2*PI()*366.25/365.25,,,,,,,,,
n,θ,b,t0,t1,t2,t3,=A3,tn',tn
218,3.73135896840204,=(B223-B221)/2,=G221+1,=D222-($A$2*D222-2*$A222*PI()-$C222*(D222-$A222)-$B222)/($A$2-$C222),=E222-($A$2*E222-2*$A222*PI()-$C222*(E222-$A222)-$B222)/($A$2-$C222),=F222-($A$2*F222-2*$A222*PI()-$C222*(F222-$A222)-$B222)/($A$2-$C222),=A222,=J222-H222,=G222
219,3.74809690016625,=(B224-B222)/2,=G222+1,=D223-($A$2*D223-2*$A223*PI()-$C223*(D223-$A223)-$B223)/($A$2-$C223),=E223-($A$2*E223-2*$A223*PI()-$C223*(E223-$A223)-$B223)/($A$2-$C223),=F223-($A$2*F223-2*$A223*PI()-$C223*(F223-$A223)-$B223)/($A$2-$C223),=A223,=J223-H223,=G223
220,3.7648402409883,=(B225-B223)/2,=G223+1,=D224-($A$2*D224-2*$A224*PI()-$C224*(D224-$A224)-$B224)/($A$2-$C224),=E224-($A$2*E224-2*$A224*PI()-$C224*(E224-$A224)-$B224)/($A$2-$C224),=F224-($A$2*F224-2*$A224*PI()-$C224*(F224-$A224)-$B224)/($A$2-$C224),=A224,=J224-H224,=G224
221,3.78158912337056,=(B226-B224)/2,=G224+1,=D225-($A$2*D225-2*$A225*PI()-$C225*(D225-$A225)-$B225)/($A$2-$C225),=E225-($A$2*E225-2*$A225*PI()-$C225*(E225-$A225)-$B225)/($A$2-$C225),=F225-($A$2*F225-2*$A225*PI()-$C225*(F225-$A225)-$B225)/($A$2-$C225),=A225,=J225-H225,=G225
222,3.79834367849818,=(B227-B225)/2,=G225+1,=D226-($A$2*D226-2*$A226*PI()-$C226*(D226-$A226)-$B226)/($A$2-$C226),=E226-($A$2*E226-2*$A226*PI()-$C226*(E226-$A226)-$B226)/($A$2-$C226),=F226-($A$2*F226-2*$A226*PI()-$C226*(F226-$A226)-$B226)/($A$2-$C226),=A226,=J226-H226,=G226
223,3.81510403620405,=(B228-B226)/2,=G226+1,=D227-($A$2*D227-2*$A227*PI()-$C227*(D227-$A227)-$B227)/($A$2-$C227),=E227-($A$2*E227-2*$A227*PI()-$C227*(E227-$A227)-$B227)/($A$2-$C227),=F227-($A$2*F227-2*$A227*PI()-$C227*(F227-$A227)-$B227)/($A$2-$C227),=A227,=J227-H227,=G227
224,3.83187032493396,=(B229-B227)/2,=G227+1,=D228-($A$2*D228-2*$A228*PI()-$C228*(D228-$A228)-$B228)/($A$2-$C228),=E228-($A$2*E228-2*$A228*PI()-$C228*(E228-$A228)-$B228)/($A$2-$C228),=F228-($A$2*F228-2*$A228*PI()-$C228*(F228-$A228)-$B228)/($A$2-$C228),=A228,=J228-H228,=G228
225,3.84864267171166,=(B230-B228)/2,=G228+1,=D229-($A$2*D229-2*$A229*PI()-$C229*(D229-$A229)-$B229)/($A$2-$C229),=E229-($A$2*E229-2*$A229*PI()-$C229*(E229-$A229)-$B229)/($A$2-$C229),=F229-($A$2*F229-2*$A229*PI()-$C229*(F229-$A229)-$B229)/($A$2-$C229),=A229,=J229-H229,=G229
226,3.86542120210413,=(B231-B229)/2,=G229+1,=D230-($A$2*D230-2*$A230*PI()-$C230*(D230-$A230)-$B230)/($A$2-$C230),=E230-($A$2*E230-2*$A230*PI()-$C230*(E230-$A230)-$B230)/($A$2-$C230),=F230-($A$2*F230-2*$A230*PI()-$C230*(F230-$A230)-$B230)/($A$2-$C230),=A230,=J230-H230,=G230
227,3.88220604018683,=(B232-B230)/2,=G230+1,=D231-($A$2*D231-2*$A231*PI()-$C231*(D231-$A231)-$B231)/($A$2-$C231),=E231-($A$2*E231-2*$A231*PI()-$C231*(E231-$A231)-$B231)/($A$2-$C231),=F231-($A$2*F231-2*$A231*PI()-$C231*(F231-$A231)-$B231)/($A$2-$C231),=A231,=J231-H231,=G231
228,3.89899730850907,=(B233-B231)/2,=G231+1,=D232-($A$2*D232-2*$A232*PI()-$C232*(D232-$A232)-$B232)/($A$2-$C232),=E232-($A$2*E232-2*$A232*PI()-$C232*(E232-$A232)-$B232)/($A$2-$C232),=F232-($A$2*F232-2*$A232*PI()-$C232*(F232-$A232)-$B232)/($A$2-$C232),=A232,=J232-H232,=G232
229,3.91579512805944,=(B234-B232)/2,=G232+1,=D233-($A$2*D233-2*$A233*PI()-$C233*(D233-$A233)-$B233)/($A$2-$C233),=E233-($A$2*E233-2*$A233*PI()-$C233*(E233-$A233)-$B233)/($A$2-$C233),=F233-($A$2*F233-2*$A233*PI()-$C233*(F233-$A233)-$B233)/($A$2-$C233),=A233,=J233-H233,=G233
230,3.93259961823136,=(B235-B233)/2,=G233+1,=D234-($A$2*D234-2*$A234*PI()-$C234*(D234-$A234)-$B234)/($A$2-$C234),=E234-($A$2*E234-2*$A234*PI()-$C234*(E234-$A234)-$B234)/($A$2-$C234),=F234-($A$2*F234-2*$A234*PI()-$C234*(F234-$A234)-$B234)/($A$2-$C234),=A234,=J234-H234,=G234
231,3.94941089678869,=(B236-B234)/2,=G234+1,=D235-($A$2*D235-2*$A235*PI()-$C235*(D235-$A235)-$B235)/($A$2-$C235),=E235-($A$2*E235-2*$A235*PI()-$C235*(E235-$A235)-$B235)/($A$2-$C235),=F235-($A$2*F235-2*$A235*PI()-$C235*(F235-$A235)-$B235)/($A$2-$C235),=A235,=J235-H235,=G235
232,3.96622907983148,=(B237-B235)/2,=G235+1,=D236-($A$2*D236-2*$A236*PI()-$C236*(D236-$A236)-$B236)/($A$2-$C236),=E236-($A$2*E236-2*$A236*PI()-$C236*(E236-$A236)-$B236)/($A$2-$C236),=F236-($A$2*F236-2*$A236*PI()-$C236*(F236-$A236)-$B236)/($A$2-$C236),=A236,=J236-H236,=G236
233,3.98305428176183,=(B238-B236)/2,=G236+1,=D237-($A$2*D237-2*$A237*PI()-$C237*(D237-$A237)-$B237)/($A$2-$C237),=E237-($A$2*E237-2*$A237*PI()-$C237*(E237-$A237)-$B237)/($A$2-$C237),=F237-($A$2*F237-2*$A237*PI()-$C237*(F237-$A237)-$B237)/($A$2-$C237),=A237,=J237-H237,=G237
234,3.99988661524984,=(B239-B237)/2,=G237+1,=D238-($A$2*D238-2*$A238*PI()-$C238*(D238-$A238)-$B238)/($A$2-$C238),=E238-($A$2*E238-2*$A238*PI()-$C238*(E238-$A238)-$B238)/($A$2-$C238),=F238-($A$2*F238-2*$A238*PI()-$C238*(F238-$A238)-$B238)/($A$2-$C238),=A238,=J238-H238,=G238
235,4.01672619119974,=(B240-B238)/2,=G238+1,=D239-($A$2*D239-2*$A239*PI()-$C239*(D239-$A239)-$B239)/($A$2-$C239),=E239-($A$2*E239-2*$A239*PI()-$C239*(E239-$A239)-$B239)/($A$2-$C239),=F239-($A$2*F239-2*$A239*PI()-$C239*(F239-$A239)-$B239)/($A$2-$C239),=A239,=J239-H239,=G239
236,4.03357311871616,=(B241-B239)/2,=G239+1,=D240-($A$2*D240-2*$A240*PI()-$C240*(D240-$A240)-$B240)/($A$2-$C240),=E240-($A$2*E240-2*$A240*PI()-$C240*(E240-$A240)-$B240)/($A$2-$C240),=F240-($A$2*F240-2*$A240*PI()-$C240*(F240-$A240)-$B240)/($A$2-$C240),=A240,=J240-H240,=G240
237,4.05042750507046,=(B242-B240)/2,=G240+1,=D241-($A$2*D241-2*$A241*PI()-$C241*(D241-$A241)-$B241)/($A$2-$C241),=E241-($A$2*E241-2*$A241*PI()-$C241*(E241-$A241)-$B241)/($A$2-$C241),=F241-($A$2*F241-2*$A241*PI()-$C241*(F241-$A241)-$B241)/($A$2-$C241),=A241,=J241-H241,=G241
238,4.06728945566736,=(B243-B241)/2,=G241+1,=D242-($A$2*D242-2*$A242*PI()-$C242*(D242-$A242)-$B242)/($A$2-$C242),=E242-($A$2*E242-2*$A242*PI()-$C242*(E242-$A242)-$B242)/($A$2-$C242),=F242-($A$2*F242-2*$A242*PI()-$C242*(F242-$A242)-$B242)/($A$2-$C242),=A242,=J242-H242,=G242
239,4.08415907401162,=(B244-B242)/2,=G242+1,=D243-($A$2*D243-2*$A243*PI()-$C243*(D243-$A243)-$B243)/($A$2-$C243),=E243-($A$2*E243-2*$A243*PI()-$C243*(E243-$A243)-$B243)/($A$2-$C243),=F243-($A$2*F243-2*$A243*PI()-$C243*(F243-$A243)-$B243)/($A$2-$C243),=A243,=J243-H243,=G243
240,4.10103646167497,=(B245-B243)/2,=G243+1,=D244-($A$2*D244-2*$A244*PI()-$C244*(D244-$A244)-$B244)/($A$2-$C244),=E244-($A$2*E244-2*$A244*PI()-$C244*(E244-$A244)-$B244)/($A$2-$C244),=F244-($A$2*F244-2*$A244*PI()-$C244*(F244-$A244)-$B244)/($A$2-$C244),=A244,=J244-H244,=G244
241,4.1179217182632,=(B246-B244)/2,=G244+1,=D245-($A$2*D245-2*$A245*PI()-$C245*(D245-$A245)-$B245)/($A$2-$C245),=E245-($A$2*E245-2*$A245*PI()-$C245*(E245-$A245)-$B245)/($A$2-$C245),=F245-($A$2*F245-2*$A245*PI()-$C245*(F245-$A245)-$B245)/($A$2-$C245),=A245,=J245-H245,=G245
242,4.13481494138346,=(B247-B245)/2,=G245+1,=D246-($A$2*D246-2*$A246*PI()-$C246*(D246-$A246)-$B246)/($A$2-$C246),=E246-($A$2*E246-2*$A246*PI()-$C246*(E246-$A246)-$B246)/($A$2-$C246),=F246-($A$2*F246-2*$A246*PI()-$C246*(F246-$A246)-$B246)/($A$2-$C246),=A246,=J246-H246,=G246
243,4.15171622661179,=(B248-B246)/2,=G246+1,=D247-($A$2*D247-2*$A247*PI()-$C247*(D247-$A247)-$B247)/($A$2-$C247),=E247-($A$2*E247-2*$A247*PI()-$C247*(E247-$A247)-$B247)/($A$2-$C247),=F247-($A$2*F247-2*$A247*PI()-$C247*(F247-$A247)-$B247)/($A$2-$C247),=A247,=J247-H247,=G247
244,4.16862566746084,=(B249-B247)/2,=G247+1,=D248-($A$2*D248-2*$A248*PI()-$C248*(D248-$A248)-$B248)/($A$2-$C248),=E248-($A$2*E248-2*$A248*PI()-$C248*(E248-$A248)-$B248)/($A$2-$C248),=F248-($A$2*F248-2*$A248*PI()-$C248*(F248-$A248)-$B248)/($A$2-$C248),=A248,=J248-H248,=G248
245,4.18554335534784,=(B250-B248)/2,=G248+1,=D249-($A$2*D249-2*$A249*PI()-$C249*(D249-$A249)-$B249)/($A$2-$C249),=E249-($A$2*E249-2*$A249*PI()-$C249*(E249-$A249)-$B249)/($A$2-$C249),=F249-($A$2*F249-2*$A249*PI()-$C249*(F249-$A249)-$B249)/($A$2-$C249),=A249,=J249-H249,=G249
246,4.20246937956287,=(B251-B249)/2,=G249+1,=D250-($A$2*D250-2*$A250*PI()-$C250*(D250-$A250)-$B250)/($A$2-$C250),=E250-($A$2*E250-2*$A250*PI()-$C250*(E250-$A250)-$B250)/($A$2-$C250),=F250-($A$2*F250-2*$A250*PI()-$C250*(F250-$A250)-$B250)/($A$2-$C250),=A250,=J250-H250,=G250
247,4.2194038272373,=(B252-B250)/2,=G250+1,=D251-($A$2*D251-2*$A251*PI()-$C251*(D251-$A251)-$B251)/($A$2-$C251),=E251-($A$2*E251-2*$A251*PI()-$C251*(E251-$A251)-$B251)/($A$2-$C251),=F251-($A$2*F251-2*$A251*PI()-$C251*(F251-$A251)-$B251)/($A$2-$C251),=A251,=J251-H251,=G251
248,4.23634678331257,=(B253-B251)/2,=G251+1,=D252-($A$2*D252-2*$A252*PI()-$C252*(D252-$A252)-$B252)/($A$2-$C252),=E252-($A$2*E252-2*$A252*PI()-$C252*(E252-$A252)-$B252)/($A$2-$C252),=F252-($A$2*F252-2*$A252*PI()-$C252*(F252-$A252)-$B252)/($A$2-$C252),=A252,=J252-H252,=G252
249,4.25329833050925,=(B254-B252)/2,=G252+1,=D253-($A$2*D253-2*$A253*PI()-$C253*(D253-$A253)-$B253)/($A$2-$C253),=E253-($A$2*E253-2*$A253*PI()-$C253*(E253-$A253)-$B253)/($A$2-$C253),=F253-($A$2*F253-2*$A253*PI()-$C253*(F253-$A253)-$B253)/($A$2-$C253),=A253,=J253-H253,=G253
250,4.27025854929641,=(B255-B253)/2,=G253+1,=D254-($A$2*D254-2*$A254*PI()-$C254*(D254-$A254)-$B254)/($A$2-$C254),=E254-($A$2*E254-2*$A254*PI()-$C254*(E254-$A254)-$B254)/($A$2-$C254),=F254-($A$2*F254-2*$A254*PI()-$C254*(F254-$A254)-$B254)/($A$2-$C254),=A254,=J254-H254,=G254
251,4.28722751786127,=(B256-B254)/2,=G254+1,=D255-($A$2*D255-2*$A255*PI()-$C255*(D255-$A255)-$B255)/($A$2-$C255),=E255-($A$2*E255-2*$A255*PI()-$C255*(E255-$A255)-$B255)/($A$2-$C255),=F255-($A$2*F255-2*$A255*PI()-$C255*(F255-$A255)-$B255)/($A$2-$C255),=A255,=J255-H255,=G255
252,4.30420531207919,=(B257-B255)/2,=G255+1,=D256-($A$2*D256-2*$A256*PI()-$C256*(D256-$A256)-$B256)/($A$2-$C256),=E256-($A$2*E256-2*$A256*PI()-$C256*(E256-$A256)-$B256)/($A$2-$C256),=F256-($A$2*F256-2*$A256*PI()-$C256*(F256-$A256)-$B256)/($A$2-$C256),=A256,=J256-H256,=G256
253,4.32119200548409,=(B258-B256)/2,=G256+1,=D257-($A$2*D257-2*$A257*PI()-$C257*(D257-$A257)-$B257)/($A$2-$C257),=E257-($A$2*E257-2*$A257*PI()-$C257*(E257-$A257)-$B257)/($A$2-$C257),=F257-($A$2*F257-2*$A257*PI()-$C257*(F257-$A257)-$B257)/($A$2-$C257),=A257,=J257-H257,=G257
254,4.33818766923908,=(B259-B257)/2,=G257+1,=D258-($A$2*D258-2*$A258*PI()-$C258*(D258-$A258)-$B258)/($A$2-$C258),=E258-($A$2*E258-2*$A258*PI()-$C258*(E258-$A258)-$B258)/($A$2-$C258),=F258-($A$2*F258-2*$A258*PI()-$C258*(F258-$A258)-$B258)/($A$2-$C258),=A258,=J258-H258,=G258
255,4.35519237210761,=(B260-B258)/2,=G258+1,=D259-($A$2*D259-2*$A259*PI()-$C259*(D259-$A259)-$B259)/($A$2-$C259),=E259-($A$2*E259-2*$A259*PI()-$C259*(E259-$A259)-$B259)/($A$2-$C259),=F259-($A$2*F259-2*$A259*PI()-$C259*(F259-$A259)-$B259)/($A$2-$C259),=A259,=J259-H259,=G259
256,4.37220618042493,=(B261-B259)/2,=G259+1,=D260-($A$2*D260-2*$A260*PI()-$C260*(D260-$A260)-$B260)/($A$2-$C260),=E260-($A$2*E260-2*$A260*PI()-$C260*(E260-$A260)-$B260)/($A$2-$C260),=F260-($A$2*F260-2*$A260*PI()-$C260*(F260-$A260)-$B260)/($A$2-$C260),=A260,=J260-H260,=G260
257,4.38922915806999,=(B262-B260)/2,=G260+1,=D261-($A$2*D261-2*$A261*PI()-$C261*(D261-$A261)-$B261)/($A$2-$C261),=E261-($A$2*E261-2*$A261*PI()-$C261*(E261-$A261)-$B261)/($A$2-$C261),=F261-($A$2*F261-2*$A261*PI()-$C261*(F261-$A261)-$B261)/($A$2-$C261),=A261,=J261-H261,=G261
258,4.40626136643771,=(B263-B261)/2,=G261+1,=D262-($A$2*D262-2*$A262*PI()-$C262*(D262-$A262)-$B262)/($A$2-$C262),=E262-($A$2*E262-2*$A262*PI()-$C262*(E262-$A262)-$B262)/($A$2-$C262),=F262-($A$2*F262-2*$A262*PI()-$C262*(F262-$A262)-$B262)/($A$2-$C262),=A262,=J262-H262,=G262
259,4.42330286441182,=(B264-B262)/2,=G262+1,=D263-($A$2*D263-2*$A263*PI()-$C263*(D263-$A263)-$B263)/($A$2-$C263),=E263-($A$2*E263-2*$A263*PI()-$C263*(E263-$A263)-$B263)/($A$2-$C263),=F263-($A$2*F263-2*$A263*PI()-$C263*(F263-$A263)-$B263)/($A$2-$C263),=A263,=J263-H263,=G263
260,4.44035370833801,=(B265-B263)/2,=G263+1,=D264-($A$2*D264-2*$A264*PI()-$C264*(D264-$A264)-$B264)/($A$2-$C264),=E264-($A$2*E264-2*$A264*PI()-$C264*(E264-$A264)-$B264)/($A$2-$C264),=F264-($A$2*F264-2*$A264*PI()-$C264*(F264-$A264)-$B264)/($A$2-$C264),=A264,=J264-H264,=G264
261,4.45741395199764,=(B266-B264)/2,=G264+1,=D265-($A$2*D265-2*$A265*PI()-$C265*(D265-$A265)-$B265)/($A$2-$C265),=E265-($A$2*E265-2*$A265*PI()-$C265*(E265-$A265)-$B265)/($A$2-$C265),=F265-($A$2*F265-2*$A265*PI()-$C265*(F265-$A265)-$B265)/($A$2-$C265),=A265,=J265-H265,=G265
262,4.4744836465819,=(B267-B265)/2,=G265+1,=D266-($A$2*D266-2*$A266*PI()-$C266*(D266-$A266)-$B266)/($A$2-$C266),=E266-($A$2*E266-2*$A266*PI()-$C266*(E266-$A266)-$B266)/($A$2-$C266),=F266-($A$2*F266-2*$A266*PI()-$C266*(F266-$A266)-$B266)/($A$2-$C266),=A266,=J266-H266,=G266
263,4.49156284066657,=(B268-B266)/2,=G266+1,=D267-($A$2*D267-2*$A267*PI()-$C267*(D267-$A267)-$B267)/($A$2-$C267),=E267-($A$2*E267-2*$A267*PI()-$C267*(E267-$A267)-$B267)/($A$2-$C267),=F267-($A$2*F267-2*$A267*PI()-$C267*(F267-$A267)-$B267)/($A$2-$C267),=A267,=J267-H267,=G267
264,4.50865158018714,=(B269-B267)/2,=G267+1,=D268-($A$2*D268-2*$A268*PI()-$C268*(D268-$A268)-$B268)/($A$2-$C268),=E268-($A$2*E268-2*$A268*PI()-$C268*(E268-$A268)-$B268)/($A$2-$C268),=F268-($A$2*F268-2*$A268*PI()-$C268*(F268-$A268)-$B268)/($A$2-$C268),=A268,=J268-H268,=G268
265,4.52574990841466,=(B270-B268)/2,=G268+1,=D269-($A$2*D269-2*$A269*PI()-$C269*(D269-$A269)-$B269)/($A$2-$C269),=E269-($A$2*E269-2*$A269*PI()-$C269*(E269-$A269)-$B269)/($A$2-$C269),=F269-($A$2*F269-2*$A269*PI()-$C269*(F269-$A269)-$B269)/($A$2-$C269),=A269,=J269-H269,=G269
266,4.54285786593202,=(B271-B269)/2,=G269+1,=D270-($A$2*D270-2*$A270*PI()-$C270*(D270-$A270)-$B270)/($A$2-$C270),=E270-($A$2*E270-2*$A270*PI()-$C270*(E270-$A270)-$B270)/($A$2-$C270),=F270-($A$2*F270-2*$A270*PI()-$C270*(F270-$A270)-$B270)/($A$2-$C270),=A270,=J270-H270,=G270
267,4.55997549061088,=(B272-B270)/2,=G270+1,=D271-($A$2*D271-2*$A271*PI()-$C271*(D271-$A271)-$B271)/($A$2-$C271),=E271-($A$2*E271-2*$A271*PI()-$C271*(E271-$A271)-$B271)/($A$2-$C271),=F271-($A$2*F271-2*$A271*PI()-$C271*(F271-$A271)-$B271)/($A$2-$C271),=A271,=J271-H271,=G271
268,4.57710281758918,=(B273-B271)/2,=G271+1,=D272-($A$2*D272-2*$A272*PI()-$C272*(D272-$A272)-$B272)/($A$2-$C272),=E272-($A$2*E272-2*$A272*PI()-$C272*(E272-$A272)-$B272)/($A$2-$C272),=F272-($A$2*F272-2*$A272*PI()-$C272*(F272-$A272)-$B272)/($A$2-$C272),=A272,=J272-H272,=G272
269,4.59423987924925,=(B274-B272)/2,=G272+1,=D273-($A$2*D273-2*$A273*PI()-$C273*(D273-$A273)-$B273)/($A$2-$C273),=E273-($A$2*E273-2*$A273*PI()-$C273*(E273-$A273)-$B273)/($A$2-$C273),=F273-($A$2*F273-2*$A273*PI()-$C273*(F273-$A273)-$B273)/($A$2-$C273),=A273,=J273-H273,=G273
270,4.61138670519661,=(B275-B273)/2,=G273+1,=D274-($A$2*D274-2*$A274*PI()-$C274*(D274-$A274)-$B274)/($A$2-$C274),=E274-($A$2*E274-2*$A274*PI()-$C274*(E274-$A274)-$B274)/($A$2-$C274),=F274-($A$2*F274-2*$A274*PI()-$C274*(F274-$A274)-$B274)/($A$2-$C274),=A274,=J274-H274,=G274
271,4.62854332223938,=(B276-B274)/2,=G274+1,=D275-($A$2*D275-2*$A275*PI()-$C275*(D275-$A275)-$B275)/($A$2-$C275),=E275-($A$2*E275-2*$A275*PI()-$C275*(E275-$A275)-$B275)/($A$2-$C275),=F275-($A$2*F275-2*$A275*PI()-$C275*(F275-$A275)-$B275)/($A$2-$C275),=A275,=J275-H275,=G275
272,4.64570975436836,=(B277-B275)/2,=G275+1,=D276-($A$2*D276-2*$A276*PI()-$C276*(D276-$A276)-$B276)/($A$2-$C276),=E276-($A$2*E276-2*$A276*PI()-$C276*(E276-$A276)-$B276)/($A$2-$C276),=F276-($A$2*F276-2*$A276*PI()-$C276*(F276-$A276)-$B276)/($A$2-$C276),=A276,=J276-H276,=G276
273,4.66288602273788,=(B278-B276)/2,=G276+1,=D277-($A$2*D277-2*$A277*PI()-$C277*(D277-$A277)-$B277)/($A$2-$C277),=E277-($A$2*E277-2*$A277*PI()-$C277*(E277-$A277)-$B277)/($A$2-$C277),=F277-($A$2*F277-2*$A277*PI()-$C277*(F277-$A277)-$B277)/($A$2-$C277),=A277,=J277-H277,=G277
274,4.68007214564725,=(B279-B277)/2,=G277+1,=D278-($A$2*D278-2*$A278*PI()-$C278*(D278-$A278)-$B278)/($A$2-$C278),=E278-($A$2*E278-2*$A278*PI()-$C278*(E278-$A278)-$B278)/($A$2-$C278),=F278-($A$2*F278-2*$A278*PI()-$C278*(F278-$A278)-$B278)/($A$2-$C278),=A278,=J278-H278,=G278
275,4.69726813852303,=(B280-B278)/2,=G278+1,=D279-($A$2*D279-2*$A279*PI()-$C279*(D279-$A279)-$B279)/($A$2-$C279),=E279-($A$2*E279-2*$A279*PI()-$C279*(E279-$A279)-$B279)/($A$2-$C279),=F279-($A$2*F279-2*$A279*PI()-$C279*(F279-$A279)-$B279)/($A$2-$C279),=A279,=J279-H279,=G279
276,4.71447401390203,=(B281-B279)/2,=G279+1,=D280-($A$2*D280-2*$A280*PI()-$C280*(D280-$A280)-$B280)/($A$2-$C280),=E280-($A$2*E280-2*$A280*PI()-$C280*(E280-$A280)-$B280)/($A$2-$C280),=F280-($A$2*F280-2*$A280*PI()-$C280*(F280-$A280)-$B280)/($A$2-$C280),=A280,=J280-H280,=G280
277,4.73168978141508,=(B282-B280)/2,=G280+1,=D281-($A$2*D281-2*$A281*PI()-$C281*(D281-$A281)-$B281)/($A$2-$C281),=E281-($A$2*E281-2*$A281*PI()-$C281*(E281-$A281)-$B281)/($A$2-$C281),=F281-($A$2*F281-2*$A281*PI()-$C281*(F281-$A281)-$B281)/($A$2-$C281),=A281,=J281-H281,=G281
278,4.74891544777159,=(B283-B281)/2,=G281+1,=D282-($A$2*D282-2*$A282*PI()-$C282*(D282-$A282)-$B282)/($A$2-$C282),=E282-($A$2*E282-2*$A282*PI()-$C282*(E282-$A282)-$B282)/($A$2-$C282),=F282-($A$2*F282-2*$A282*PI()-$C282*(F282-$A282)-$B282)/($A$2-$C282),=A282,=J282-H282,=G282
279,4.76615101674488,=(B284-B282)/2,=G282+1,=D283-($A$2*D283-2*$A283*PI()-$C283*(D283-$A283)-$B283)/($A$2-$C283),=E283-($A$2*E283-2*$A283*PI()-$C283*(E283-$A283)-$B283)/($A$2-$C283),=F283-($A$2*F283-2*$A283*PI()-$C283*(F283-$A283)-$B283)/($A$2-$C283),=A283,=J283-H283,=G283
280,4.78339648915845,=(B285-B283)/2,=G283+1,=D284-($A$2*D284-2*$A284*PI()-$C284*(D284-$A284)-$B284)/($A$2-$C284),=E284-($A$2*E284-2*$A284*PI()-$C284*(E284-$A284)-$B284)/($A$2-$C284),=F284-($A$2*F284-2*$A284*PI()-$C284*(F284-$A284)-$B284)/($A$2-$C284),=A284,=J284-H284,=G284
281,4.80065186287296,=(B286-B284)/2,=G284+1,=D285-($A$2*D285-2*$A285*PI()-$C285*(D285-$A285)-$B285)/($A$2-$C285),=E285-($A$2*E285-2*$A285*PI()-$C285*(E285-$A285)-$B285)/($A$2-$C285),=F285-($A$2*F285-2*$A285*PI()-$C285*(F285-$A285)-$B285)/($A$2-$C285),=A285,=J285-H285,=G285
282,4.81791713277421,=(B287-B285)/2,=G285+1,=D286-($A$2*D286-2*$A286*PI()-$C286*(D286-$A286)-$B286)/($A$2-$C286),=E286-($A$2*E286-2*$A286*PI()-$C286*(E286-$A286)-$B286)/($A$2-$C286),=F286-($A$2*F286-2*$A286*PI()-$C286*(F286-$A286)-$B286)/($A$2-$C286),=A286,=J286-H286,=G286
283,4.83519229076188,=(B288-B286)/2,=G286+1,=D287-($A$2*D287-2*$A287*PI()-$C287*(D287-$A287)-$B287)/($A$2-$C287),=E287-($A$2*E287-2*$A287*PI()-$C287*(E287-$A287)-$B287)/($A$2-$C287),=F287-($A$2*F287-2*$A287*PI()-$C287*(F287-$A287)-$B287)/($A$2-$C287),=A287,=J287-H287,=G287
284,4.85247732573927,=(B289-B287)/2,=G287+1,=D288-($A$2*D288-2*$A288*PI()-$C288*(D288-$A288)-$B288)/($A$2-$C288),=E288-($A$2*E288-2*$A288*PI()-$C288*(E288-$A288)-$B288)/($A$2-$C288),=F288-($A$2*F288-2*$A288*PI()-$C288*(F288-$A288)-$B288)/($A$2-$C288),=A288,=J288-H288,=G288
285,4.86977222360395,=(B290-B288)/2,=G288+1,=D289-($A$2*D289-2*$A289*PI()-$C289*(D289-$A289)-$B289)/($A$2-$C289),=E289-($A$2*E289-2*$A289*PI()-$C289*(E289-$A289)-$B289)/($A$2-$C289),=F289-($A$2*F289-2*$A289*PI()-$C289*(F289-$A289)-$B289)/($A$2-$C289),=A289,=J289-H289,=G289
286,4.88707696723929,=(B291-B289)/2,=G289+1,=D290-($A$2*D290-2*$A290*PI()-$C290*(D290-$A290)-$B290)/($A$2-$C290),=E290-($A$2*E290-2*$A290*PI()-$C290*(E290-$A290)-$B290)/($A$2-$C290),=F290-($A$2*F290-2*$A290*PI()-$C290*(F290-$A290)-$B290)/($A$2-$C290),=A290,=J290-H290,=G290
287,4.90439153650704,=(B292-B290)/2,=G290+1,=D291-($A$2*D291-2*$A291*PI()-$C291*(D291-$A291)-$B291)/($A$2-$C291),=E291-($A$2*E291-2*$A291*PI()-$C291*(E291-$A291)-$B291)/($A$2-$C291),=F291-($A$2*F291-2*$A291*PI()-$C291*(F291-$A291)-$B291)/($A$2-$C291),=A291,=J291-H291,=G291
288,4.92171590824082,=(B293-B291)/2,=G291+1,=D292-($A$2*D292-2*$A292*PI()-$C292*(D292-$A292)-$B292)/($A$2-$C292),=E292-($A$2*E292-2*$A292*PI()-$C292*(E292-$A292)-$B292)/($A$2-$C292),=F292-($A$2*F292-2*$A292*PI()-$C292*(F292-$A292)-$B292)/($A$2-$C292),=A292,=J292-H292,=G292
289,4.93905005624061,=(B294-B292)/2,=G292+1,=D293-($A$2*D293-2*$A293*PI()-$C293*(D293-$A293)-$B293)/($A$2-$C293),=E293-($A$2*E293-2*$A293*PI()-$C293*(E293-$A293)-$B293)/($A$2-$C293),=F293-($A$2*F293-2*$A293*PI()-$C293*(F293-$A293)-$B293)/($A$2-$C293),=A293,=J293-H293,=G293
290,4.95639395126834,=(B295-B293)/2,=G293+1,=D294-($A$2*D294-2*$A294*PI()-$C294*(D294-$A294)-$B294)/($A$2-$C294),=E294-($A$2*E294-2*$A294*PI()-$C294*(E294-$A294)-$B294)/($A$2-$C294),=F294-($A$2*F294-2*$A294*PI()-$C294*(F294-$A294)-$B294)/($A$2-$C294),=A294,=J294-H294,=G294
