ω,,,,,,,,,
=2*PI()*366.25/365.25,,,,,,,,,
n,θ,b,t0,t1,t2,t3,=A3,tn',tn
42,0.744935525141262,=(B47-B45)/2,=G45+1,=D46-($A$2*D46-2*$A46*PI()-$C46*(D46-$A46)-$B46)/($A$2-$C46),=E46-($A$2*E46-2*$A46*PI()-$C46*(E46-$A46)-$B46)/($A$2-$C46),=F46-($A$2*F46-2*$A46*PI()-$C46*(F46-$A46)-$B46)/($A$2-$C46),=A46,=J46-H46,=G46
43,0.762566763730741,=(B48-B46)/2,=G46+1,=D47-($A$2*D47-2*$A47*PI()-$C47*(D47-$A47)-$B47)/($A$2-$C47),=E47-($A$2*E47-2*$A47*PI()-$C47*(E47-$A47)-$B47)/($A$2-$C47),=F47-($A$2*F47-2*$A47*PI()-$C47*(F47-$A47)-$B47)/($A$2-$C47),=A47,=J47-H47,=G47
44,0.780190919271009,=(B49-B47)/2,=G47+1,=D48-($A$2*D48-2*$A48*PI()-$C48*(D48-$A48)-$B48)/($A$2-$C48),=E48-($A$2*E48-2*$A48*PI()-$C48*(E48-$A48)-$B48)/($A$2-$C48),=F48-($A$2*F48-2*$A48*PI()-$C48*(F48-$A48)-$B48)/($A$2-$C48),=A48,=J48-H48,=G48
45,0.797807866586455,=(B50-B48)/2,=G48+1,=D49-($A$2*D49-2*$A49*PI()-$C49*(D49-$A49)-$B49)/($A$2-$C49),=E49-($A$2*E49-2*$A49*PI()-$C49*(E49-$A49)-$B49)/($A$2-$C49),=F49-($A$2*F49-2*$A49*PI()-$C49*(F49-$A49)-$B49)/($A$2-$C49),=A49,=J49-H49,=G49
46,0.815417483024531,=(B51-B49)/2,=G49+1,=D50-($A$2*D50-2*$A50*PI()-$C50*(D50-$A50)-$B50)/($A$2-$C50),=E50-($A$2*E50-2*$A50*PI()-$C50*(E50-$A50)-$B50)/($A$2-$C50),=F50-($A$2*F50-2*$A50*PI()-$C50*(F50-$A50)-$B50)/($A$2-$C50),=A50,=J50-H50,=G50
47,0.833019648491331,=(B52-B50)/2,=G50+1,=D51-($A$2*D51-2*$A51*PI()-$C51*(D51-$A51)-$B51)/($A$2-$C51),=E51-($A$2*E51-2*$A51*PI()-$C51*(E51-$A51)-$B51)/($A$2-$C51),=F51-($A$2*F51-2*$A51*PI()-$C51*(F51-$A51)-$B51)/($A$2-$C51),=A51,=J51-H51,=G51
48,0.850614245485923,=(B53-B51)/2,=G51+1,=D52-($A$2*D52-2*$A52*PI()-$C52*(D52-$A52)-$B52)/($A$2-$C52),=E52-($A$2*E52-2*$A52*PI()-$C52*(E52-$A52)-$B52)/($A$2-$C52),=F52-($A$2*F52-2*$A52*PI()-$C52*(F52-$A52)-$B52)/($A$2-$C52),=A52,=J52-H52,=G52
49,0.868201159133419,=(B54-B52)/2,=G52+1,=D53-($A$2*D53-2*$A53*PI()-$C53*(D53-$A53)-$B53)/($A$2-$C53),=E53-($A$2*E53-2*$A53*PI()-$C53*(E53-$A53)-$B53)/($A$2-$C53),=F53-($A$2*F53-2*$A53*PI()-$C53*(F53-$A53)-$B53)/($A$2-$C53),=A53,=J53-H53,=G53
50,0.885780277216783,=(B55-B53)/2,=G53+1,=D54-($A$2*D54-2*$A54*PI()-$C54*(D54-$A54)-$B54)/($A$2-$C54),=E54-($A$2*E54-2*$A54*PI()-$C54*(E54-$A54)-$B54)/($A$2-$C54),=F54-($A$2*F54-2*$A54*PI()-$C54*(F54-$A54)-$B54)/($A$2-$C54),=A54,=J54-H54,=G54
51,0.903351490207366,=(B56-B54)/2,=G54+1,=D55-($A$2*D55-2*$A55*PI()-$C55*(D55-$A55)-$B55)/($A$2-$C55),=E55-($A$2*E55-2*$A55*PI()-$C55*(E55-$A55)-$B55)/($A$2-$C55),=F55-($A$2*F55-2*$A55*PI()-$C55*(F55-$A55)-$B55)/($A$2-$C55),=A55,=J55-H55,=G55
